id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15341,60049,Ted,Manhattan,Soho,40.7221,-73.99775,Entire Home/Apt,180,30,21,2019-06-29,0.3,1,154
15385,60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private Room,80,2,42,2019-06-30,0.38,1,263
15396,60278,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire Home/Apt,375,180,5,2018-11-03,0.12,1,180
15711,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire Home/Apt,250,2,66,2019-03-30,0.57,2,231
16326,63588,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire Home/Apt,200,30,143,2019-01-26,1.33,2,297
16338,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private Room,55,7,27,2017-09-30,0.23,2,292
16421,63924,Mark,Manhattan,Hell'S Kitchen,40.75979,-73.99119,Private Room,52,30,191,2019-05-16,1.65,1,191
16458,64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire Home/Apt,225,3,4,2017-09-24,0.16,1,0
16580,64442,Reka,Manhattan,East Village,40.72649,-73.97904,Private Room,80,1,338,2019-07-01,4.72,2,72
16595,64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire Home/Apt,275,1,148,2019-06-23,1.4,1,362
16821,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private Room,99,1,106,2019-06-21,1.26,2,336
16974,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire Home/Apt,225,4,190,2019-06-23,1.64,1,215
17037,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire Home/Apt,230,9,49,2018-05-14,0.43,1,116
17092,66243,Enzo,Manhattan,Hell'S Kitchen,40.76342,-73.98865,Private Room,51,7,23,2019-06-01,0.43,1,88
17693,68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private Room,65,2,49,2019-06-18,1.6,2,336
17747,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private Room,105,2,105,2019-06-26,0.92,1,304
18127,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire Home/Apt,190,5,21,2019-01-02,0.2,1,224
18152,69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private Room,200,1,142,2019-07-06,1.5,1,322
18198,70091,Justin,Queens,Woodside,40.75038,-73.90334,Private Room,70,30,25,2019-05-31,0.22,1,324
18590,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private Room,95,3,143,2019-06-16,1.28,1,132
18728,71876,David And Rick,Manhattan,Chelsea,40.74138,-74.00197,Private Room,150,3,167,2019-05-28,1.65,1,295
18764,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private Room,145,3,61,2019-04-22,0.54,4,238
19159,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire Home/Apt,110,31,54,2019-03-23,0.49,1,209
19169,73128,Jolynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire Home/Apt,285,5,70,2019-06-30,0.62,1,328
19282,73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire Home/Apt,130,6,16,2019-06-15,0.15,1,38
19319,44263,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private Room,94,30,94,2019-04-08,0.84,1,188
19812,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire Home/Apt,105,3,61,2018-08-09,0.53,1,272
20299,62407,Edward,Manhattan,East Village,40.72334,-73.9844,Private Room,60,3,194,2019-06-30,1.73,1,26
20300,76627,Pas,Manhattan,East Village,40.72912,-73.98057,Private Room,50,1,2,2016-02-14,0.05,1,0
20611,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private Room,85,3,174,2019-06-22,1.54,4,288
20724,961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private Room,65,4,24,2019-05-26,0.28,1,317
20734,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire Home/Apt,131,4,166,2019-06-27,3.4,1,207
20755,51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private Room,98,7,16,2019-05-31,0.2,6,185
20853,79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire Home/Apt,250,7,21,2019-05-21,0.3,1,158
20913,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire Home/Apt,100,5,168,2018-07-22,1.57,1,0
21293,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire Home/Apt,105,3,118,2019-06-18,1.05,2,9
21456,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire Home/Apt,140,3,81,2019-07-07,0.71,1,198
21794,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private Room,98,30,30,2019-05-01,0.27,2,364
22911,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire Home/Apt,125,7,139,2018-10-28,1.23,2,311
22918,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private Room,60,3,11,2019-01-03,0.87,3,219
23135,11481,Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire Home/Apt,175,2,233,2019-06-24,2.09,3,342
23501,63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private Room,65,2,68,2012-11-01,0.6,1,312
23686,93790,Ann,Manhattan,West Village,40.73096,-74.00319,Entire Home/Apt,500,4,46,2019-05-18,0.55,2,243
24143,97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private Room,101,3,335,2019-05-29,3.02,1,152
24285,97797,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire Home/Apt,220,30,88,2018-11-02,0.79,1,9
25235,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire Home/Apt,125,90,162,2019-06-28,1.46,2,137
25406,105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire Home/Apt,80,30,29,2018-05-26,0.4,1,222
25696,107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private Room,100,2,170,2019-06-23,1.61,1,346
26012,109589,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire Home/Apt,200,30,19,2017-03-17,0.2,1,208
26362,59734,Luiz,Manhattan,Hell'S Kitchen,40.75527,-73.99291,Private Room,59,2,334,2019-06-16,3.0,2,279
26520,51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private Room,125,2,19,2019-06-02,0.2,6,250
26559,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire Home/Apt,140,7,12,2017-12-11,0.13,1,164
26785,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire Home/Apt,120,30,467,2018-12-30,4.22,2,192
26933,72062,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire Home/Apt,350,2,7,2017-08-09,0.06,4,298
26954,115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire Home/Apt,199,5,38,2015-12-02,0.38,1,260
26969,115307,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire Home/Apt,325,3,324,2019-06-23,3.01,1,107
27006,115560,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire Home/Apt,235,6,27,2019-04-27,0.27,1,199
27385,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire Home/Apt,225,1,115,2019-06-07,1.05,4,299
27531,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private Room,99,2,354,2019-05-20,3.2,3,20
27644,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire Home/Apt,170,2,195,2019-07-01,2.03,1,318
27659,119588,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire Home/Apt,400,2,16,2018-12-30,0.24,2,216
27759,119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire Home/Apt,170,7,13,2019-06-26,0.12,1,224
27883,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire Home/Apt,100,4,25,2011-12-10,0.23,1,0
28321,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private Room,75,2,9,2018-10-05,0.08,1,324
28396,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private Room,90,1,9,2011-09-18,0.08,1,245
28907,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire Home/Apt,150,5,21,2017-08-15,0.19,1,189
29012,124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private Room,85,15,36,2017-08-17,0.33,1,307
29013,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private Room,70,3,63,2019-05-14,0.58,2,310
29455,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire Home/Apt,120,3,155,2019-06-20,1.42,3,213
29628,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private Room,89,3,260,2019-07-03,2.35,1,278
29683,125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire Home/Apt,185,5,73,2019-06-25,0.66,1,209
30031,129352,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private Room,50,3,193,2019-05-20,1.86,1,0
30927,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire Home/Apt,105,3,32,2019-06-14,0.29,1,16
31130,117287,Lara,Manhattan,Hell'S Kitchen,40.76754,-73.98399,Private Room,130,2,50,2019-05-26,0.45,3,234
31555,135619,Tom,Manhattan,West Village,40.73442,-74.00303,Entire Home/Apt,115,29,26,2019-07-01,0.25,1,12
31902,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private Room,77,2,2,2019-01-01,0.02,1,178
31994,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private Room,76,2,426,2019-06-24,3.89,3,275
32023,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire Home/Apt,125,3,227,2019-06-23,2.09,2,163
32037,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private Room,135,4,84,2019-07-01,0.77,3,365
32100,138579,Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire Home/Apt,250,29,3,2017-07-30,0.03,1,34
32289,139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire Home/Apt,199,3,10,2018-06-11,0.1,1,280
32331,139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire Home/Apt,140,2,4,2016-04-24,0.04,1,0
32363,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private Room,140,2,1,2011-09-19,0.01,1,1
32965,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire Home/Apt,115,3,124,2019-06-20,1.72,2,170
32969,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire Home/Apt,160,3,11,2019-07-02,0.11,1,188
33009,143027,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire Home/Apt,195,4,240,2019-06-17,2.19,1,214
33014,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire Home/Apt,195,3,30,2019-06-17,0.28,1,248
33223,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private Room,80,3,200,2019-06-22,1.86,4,262
34760,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private Room,44,8,27,2019-06-29,1.05,5,280
35526,120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private Room,156,4,79,2019-06-22,0.74,1,307
36121,62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private Room,85,15,9,2013-05-10,0.09,1,339
36133,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private Room,125,3,155,2019-06-13,1.61,1,1
36442,137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire Home/Apt,115,15,4,2018-08-27,0.05,1,269
36647,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private Room,69,2,34,2017-05-29,0.32,1,10
36703,158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire Home/Apt,225,45,134,2019-03-31,1.24,1,312
36934,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire Home/Apt,125,6,27,2018-12-27,0.25,1,189
38638,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire Home/Apt,219,4,126,2019-06-26,1.16,2,290
38663,165789,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire Home/Apt,475,3,23,2018-12-31,0.27,1,230
39267,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire Home/Apt,99,1,234,2019-06-08,2.6,2,164
39282,168525,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private Room,69,4,202,2019-05-28,1.86,2,53
39593,110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private Room,79,30,28,2019-04-12,0.26,1,126
39704,170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire Home/Apt,135,2,309,2019-06-22,2.86,2,3
40039,171851,Henry,Brooklyn,Dumbo,40.70207,-73.98571,Private Room,250,3,14,2011-04-25,0.13,1,189
40453,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire Home/Apt,250,3,4,2016-09-23,0.08,1,365
41348,180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire Home/Apt,250,2,80,2019-07-06,2.17,1,0
41513,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire Home/Apt,80,3,2,2015-11-02,0.04,1,0
42580,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private Room,70,2,294,2019-06-24,3.47,3,336
42729,11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire Home/Apt,165,2,150,2019-06-18,1.4,3,342
42882,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private Room,70,2,166,2019-06-13,1.66,1,312
43957,177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private Room,50,2,47,2019-06-19,0.94,1,37
44096,190409,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private Room,40,1,219,2019-07-04,2.04,3,353
44161,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire Home/Apt,150,2,193,2016-07-06,1.78,1,177
44212,72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private Room,125,1,84,2019-06-23,0.78,4,310
44221,193722,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire Home/Apt,196,3,114,2019-06-20,1.06,1,0
44229,181376,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private Room,110,2,213,2019-06-24,2.0,2,321
44288,193637,Sara,Manhattan,West Village,40.73756,-74.00405,Entire Home/Apt,170,3,86,2019-06-01,0.8,1,246
44506,126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire Home/Apt,165,3,80,2019-05-26,0.75,3,231
45393,201297,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire Home/Apt,150,26,38,2016-04-20,0.36,1,225
45542,202249,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire Home/Apt,100,2,18,2018-12-17,1.79,1,0
45556,67778,Doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private Room,65,2,206,2019-06-30,1.92,2,0
45910,204539,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire Home/Apt,350,8,10,2019-05-12,0.11,5,365
45936,867225,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private Room,99,4,122,2019-05-14,1.18,2,233
45940,204724,Miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire Home/Apt,200,4,33,2019-04-08,0.58,1,1
46544,8198,Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire Home/Apt,150,5,52,2019-06-05,0.5,1,18
46723,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private Room,90,3,126,2019-05-19,1.17,4,343
46911,210746,Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private Room,120,3,51,2019-06-24,0.48,3,250
47199,212722,Teresa,Manhattan,Upper East Side,40.76834,-73.95334,Private Room,75,3,199,2019-06-24,1.85,1,326
47362,214148,Robert,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire Home/Apt,175,26,30,2012-09-03,0.29,1,364
47370,214287,Alex,Manhattan,Chelsea,40.74031,-73.99999,Entire Home/Apt,125,3,3,2015-07-17,0.03,1,0
47926,218404,Claudia,Manhattan,Hell'S Kitchen,40.76307,-73.99665,Entire Home/Apt,275,1,41,2019-06-26,0.38,1,299
48719,221873,Shane,Manhattan,Lower East Side,40.71882,-73.98852,Entire Home/Apt,299,2,109,2019-06-15,1.04,1,207
50447,9744,Laurie,Brooklyn,South Slope,40.6693,-73.98804,Entire Home/Apt,135,5,151,2019-06-22,1.43,3,162
51485,236655,Erina,Manhattan,Lower East Side,40.72319,-73.99201,Private Room,83,1,285,2019-06-22,2.69,1,7
51572,237329,Lee,Manhattan,Chelsea,40.74859,-73.99671,Private Room,123,1,375,2019-06-18,3.52,1,328
51850,27848,Jullett,Queens,Jamaica,40.67252,-73.76597,Private Room,55,2,52,2019-05-20,0.49,2,365
53137,240360,Marlaine,Manhattan,Hell'S Kitchen,40.76244,-73.99271,Entire Home/Apt,195,5,10,2019-07-01,1.01,1,0
53196,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private Room,80,2,11,2017-11-13,0.48,1,0
53469,204539,Mark,Queens,Middle Village,40.71722,-73.87856,Entire Home/Apt,98,30,33,2015-05-09,0.31,5,240
53470,204539,Mark,Queens,Ridgewood,40.70234,-73.89816,Private Room,140,7,6,2015-10-08,0.06,5,365
53477,204539,Mark,Queens,Middle Village,40.71546,-73.87854,Entire Home/Apt,265,7,38,2019-04-27,0.38,5,365
54158,10889,Bob,Brooklyn,Williamsburg,40.7195,-73.95976,Entire Home/Apt,249,2,358,2019-06-20,3.44,2,164
54453,255583,Anka,Manhattan,Hell'S Kitchen,40.76548,-73.98474,Shared Room,105,6,10,2014-01-07,0.09,1,363
54508,210746,Kathleen R.,Brooklyn,Prospect Heights,40.6787,-73.97262,Private Room,100,2,226,2019-06-06,2.12,3,250
54544,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire Home/Apt,121,1,104,2019-06-22,1.0,5,247
54626,190409,Waundell,Bronx,Highbridge,40.83075,-73.93058,Private Room,45,1,138,2019-06-30,1.45,3,323
54860,258164,Jenny,Manhattan,East Harlem,40.79958,-73.94275,Private Room,100,5,204,2019-06-23,1.92,1,192
55467,260709,Paul,Brooklyn,Williamsburg,40.71625,-73.93845,Entire Home/Apt,140,2,253,2019-07-02,3.04,1,125
55498,262138,Tami,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private Room,71,2,23,2019-07-01,0.22,1,91
55668,88209,Jason,Manhattan,Noho,40.72773,-73.99134,Private Room,130,2,115,2018-12-05,1.17,1,75
55737,263414,Pete,Manhattan,West Village,40.72861,-74.0049,Entire Home/Apt,199,5,129,2019-05-19,1.22,1,286
55959,168525,Gus,Brooklyn,Williamsburg,40.70979,-73.95162,Private Room,69,4,82,2019-06-10,1.13,2,60
55982,264928,Sally,Brooklyn,Fort Greene,40.68656,-73.97525,Private Room,68,3,37,2018-12-31,0.35,1,0
56467,267593,Leonardo,Manhattan,East Village,40.72752,-73.98432,Entire Home/Apt,130,1,204,2019-07-01,2.04,1,192
56525,268014,Alex,Brooklyn,Greenpoint,40.729,-73.95829,Entire Home/Apt,195,2,69,2019-06-13,0.65,1,58
56859,256161,Wayne,Manhattan,Harlem,40.81219,-73.94499,Private Room,64,1,192,2019-06-03,1.84,5,245
57166,272006,Vasili,Queens,Ditmars Steinway,40.77185,-73.90502,Entire Home/Apt,140,2,17,2019-06-17,0.16,1,292
57297,199392,S.M.,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire Home/Apt,159,2,222,2019-06-24,2.12,1,279
57468,239208,Ori,Manhattan,East Village,40.72821,-73.98701,Entire Home/Apt,189,3,205,2019-06-23,1.96,1,0
57618,274557,Ana,Manhattan,Hell'S Kitchen,40.7672,-73.98508,Entire Home/Apt,250,3,94,2019-06-09,0.96,1,3
57740,275459,I,Manhattan,East Village,40.73012,-73.99053,Entire Home/Apt,239,3,7,2019-05-24,0.07,1,351
57754,275578,R,Manhattan,Flatiron District,40.7403,-73.98498,Entire Home/Apt,305,2,108,2019-06-30,1.09,1,201
57874,276291,Simon,Manhattan,Harlem,40.80931,-73.94343,Entire Home/Apt,155,3,222,2019-06-26,2.1,2,232
